"filename", "language", "Markdown", "XML", "C++", "Ini", "C", "comment", "blank", "total"
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\ApplicationManager.h", "C++", 0, 0, 65, 0, 0, 14, 23, 102
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\ApplicationObjectHelperTool\ApplicationObjectHelperTool.cpp", "C++", 0, 0, 184, 0, 0, 23, 48, 255
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\ApplicationObjectHelperTool\ApplicationObjectHelperTool.h", "C++", 0, 0, 32, 0, 0, 1, 16, 49
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\ApplicationServices\ApplicationServices.cpp", "C++", 0, 0, 19, 0, 0, 3, 7, 29
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\ApplicationServices\ApplicationServices.h", "C++", 0, 0, 13, 0, 0, 2, 10, 25
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\ApplicationServices\ThreadEvenHandler.h", "C++", 0, 0, 6, 0, 0, 0, 5, 11
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\ApplicationServices\ThreadNotifier.cpp", "C++", 0, 0, 21, 0, 0, 9, 10, 40
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\ApplicationServices\ThreadNotifier.h", "C++", 0, 0, 26, 0, 0, 6, 17, 49
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\CMUgraphicsLib\CMUgraphics.cpp", "C++", 0, 0, 1206, 0, 0, 27, 399, 1632
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\CMUgraphicsLib\CMUgraphics.h", "C++", 0, 0, 130, 0, 0, 121, 76, 327
"d:\iti Mansoura 42\iti_labs_after_format\data structure and algorithms Project\DSproject after save and load\https-github.com-aalaamuhammed-Paint-For-Kids\CMUgraphicsLib\auxil.cpp", "C++", 0, 0, 19, 0, 0, 9, 7, 35
